(3272, 3008)
(3273, 3007)
(3274, 3006)
(3604, 1275)
(3605, 1274)
(3757, 4562)
(3758, 168)
(3758, 4561)
(3759, 169)
(4751, 1455)
(4752, 1456)
(4753, 1457)
(4753, 3447)
(4753, 4849)
(6659, 3666)
(6660, 3667)
(6661, 3668)
(7206, 5204)
(7207, 1473)
(7207, 5203)
(7724, 2696)
(8205, 2790)
(8205, 4777)
(8205, 5037)
(8206, 2789)
(8929, 990)
(8929, 3278)
(8930, 991)
(9375, 244)
(11091, 702)
(11091, 2486)
(11092, 703)
(11092, 2485)
(13586, 2623)
(13587, 2622)
(14266, 1976)
(15095, 3248)
(15811, 2988)
(17891, 2061)
(18437, 1883)
(19655, 2334)
(19789, 4976)
(19790, 4977)
(19791, 1123)
(19791, 3784)
(19791, 4978)
(19792, 1122)
(20311, 2646)
(20624, 794)
(21656, 3132)
(24979, 559)
(24980, 558)
(28562, 1473)
(28562, 5203)
(28563, 1474)
(29345, 522)
(29345, 1990)
(29345, 3424)
(29346, 523)
(29346, 1989)
(29826, 1124)
(29827, 1123)
(29827, 3784)
(29827, 4978)
(29828, 1122)
(29829, 1121)
(29830, 1120)
(29924, 1564)
(29925, 1563)
(29926, 922)
(29926, 1562)
(29927, 1561)
(32913, 3060)
(32914, 3059)
(32915, 3058)
(32915, 3371)
(34661, 3326)
(35144, 1529)
(35454, 3423)
(35455, 522)
(35455, 1990)
(35455, 3424)
(35456, 3425)
(37994, 4618)
(37995, 4617)
(37996, 1013)
(37996, 3575)
(37996, 4616)
(37997, 4615)
(39064, 796)
(41243, 1639)
(41244, 1640)
(41543, 2372)
(41543, 4749)
(43262, 3002)
(43443, 2287)
(43619, 5632)
(43620, 5631)
(43621, 5630)
(43622, 5629)
(43623, 5628)
(46036, 702)
(46036, 2486)
(46037, 703)
(46037, 2485)
(46038, 704)
(46039, 705)
(47848, 3373)
(47849, 3372)
(47850, 3058)
(47850, 3371)
(47851, 3370)
(48348, 4852)
(48349, 4851)
(48350, 4850)
(48351, 1457)
(48351, 3447)
(48351, 4849)
(48352, 1458)
(48352, 3448)
(50166, 3877)
(50502, 4425)
(50503, 2027)
(50503, 2842)
(50503, 4426)
(50504, 4427)
(54345, 522)
(54345, 1990)
(54345, 3424)
(54377, 49)
(54378, 50)
(54379, 51)
(54379, 3732)
(54379, 4141)
(55121, 4425)
(55122, 2027)
(55122, 2842)
(55122, 4426)
(55123, 4427)
(56490, 2582)
(56491, 2583)
(56621, 5440)
(56622, 4228)
(56622, 5441)
(56979, 4586)
(56980, 4587)
(56981, 4588)
(56982, 4589)
(56983, 1224)
(56983, 4590)
(60509, 3267)
(60871, 489)
(61272, 2274)
(61272, 2596)
(61272, 4947)
(61273, 2597)
(64641, 3500)
(64642, 3501)
(65945, 2274)
(65945, 2596)
(65945, 4947)
(65946, 2597)
(67410, 2859)
(67411, 2860)
(68723, 104)
(68724, 105)
(69105, 2027)
(69105, 2842)
(69105, 4426)
(69106, 4427)
(69992, 3120)
(69993, 3119)
(69996, 3353)
(69997, 3354)
(70004, 2372)
(70004, 4749)
(70005, 2371)
(71736, 771)
(71736, 4936)
(71737, 4937)
(74385, 817)
(74385, 1442)
(74386, 1441)
(74387, 1440)
(74388, 1439)
(74759, 3730)
(74759, 4139)
(74760, 4138)
(76194, 1643)
(76902, 3535)
(77280, 2790)
(77280, 4777)
(77280, 5037)
(77281, 4778)
(77282, 4779)
(78824, 4997)
(78977, 580)
(79674, 771)
(79674, 4936)
(79675, 770)
(80222, 4498)
(80481, 1560)
(80482, 1561)
(81432, 990)
(81432, 3278)
(81433, 991)
(83081, 2372)
(83081, 4749)
(83082, 2371)
(83415, 1224)
(83415, 4590)
(83416, 1225)
(83417, 1226)
(84100, 2804)
(84101, 2805)
(84259, 2274)
(84259, 2596)
(84259, 4947)
(84777, 359)
(84960, 4719)
(84961, 4718)
(85366, 2790)
(85366, 4777)
(85366, 5037)
(85367, 5038)
(85368, 5039)
(85470, 51)
(85470, 3732)
(85470, 4141)
(86889, 674)
(87348, 1563)
(87349, 922)
(87349, 1562)
(87350, 1561)
(88263, 4227)
(88263, 4227)
(88264, 4228)
(88264, 5441)
(90067, 745)
(90068, 746)
(90069, 747)
(90070, 748)
(90273, 3441)
(90481, 4977)
(90482, 1123)
(90482, 3784)
(90482, 4978)
(90587, 2790)
(90587, 4777)
(90587, 5037)
(90588, 5038)
(90830, 50)
(90831, 51)
(90831, 3732)
(90831, 4141)
(90832, 52)
(91217, 5481)
(92454, 4351)
(92528, 26)
(93174, 1374)
(93594, 2446)
(93595, 2445)
(95511, 1456)
(95512, 1457)
(95512, 3447)
(95512, 4849)
(95513, 1458)
(95513, 3448)
(95748, 4562)
(95749, 168)
(95749, 4561)
(95750, 169)
(95751, 170)
(95770, 4986)
(95771, 4985)
(97510, 1010)
(97511, 1011)
(97512, 1012)
(97513, 1013)
(97513, 3575)
(97513, 4616)
(97514, 4615)
(99696, 1443)
(99697, 817)
(99697, 1442)
(100111, 4618)
(100112, 4617)
(100113, 1013)
(100113, 3575)
(100113, 4616)
(100218, 1499)
